Name,Full Ticker,Ticker,Sector,Market Cap,Net Debt,Enterprise Value (EV),Revenue,Revenue Forecast CAGR (10y),Avg EBITDA Margin Forecast (10y),Avg Capital Expenditures Margin (5y),Marginal Tax Rate,Industry,Operating Region,Operating Country
Costco Wholesale Corporation,NASDAQGS:COST,COST,Consumer Staples,212954.6587,-768,212700.6587,195929,0.0544,0.0463,0.0193,0.26,Food & Staples Retailing,United States,United States
Broadcom Inc.,NASDAQGS:AVGO,AVGO,Information Technology,212151.151,29352,241530.151,26510,0.0462,0.611,0.0339,0.15,Semiconductors & Semiconductor Equipment,United States,United States
"Merck & Co., Inc.",NYSE:MRK,MRK,Healthcare,205421.0566,17934,223449.0566,50382,0.0106,0.4692,0.0657,0.2,Pharmaceuticals,United States,United States
Intel Corporation,NASDAQGS:INTC,INTC,Information Technology,201153.82,8937,202679.22,77615,-0.0115,0.5533,0.1973,0.15,Semiconductors & Semiconductor Equipment,United States,United States
Sea Limited,NYSE:SE,SE,Communication Services,196180.5862,-3912.008,192307.3362,6822.902,0.2467,0.2127,0.1159,0.26,Entertainment,Asia / Pacific,Singapore
"Merck & Co., Inc.",NYSE:MRK.WI,MRK.WI,Healthcare,195474.9057,17934,223449.0566,50382,0.0106,0.4692,0.0657,0.2,Pharmaceuticals,United States,United States
AbbVie Inc.,NYSE:ABBV,ABBV,Healthcare,192869.5376,73556,266450.5376,53729,0.0338,0.5477,0.0179,0.21,Biotechnology,United States,United States
AstraZeneca PLC,NASDAQGS:AZN,AZN,Healthcare,191771.3844,14261,205997.3179,29528,0.0847,0.3926,0.0488,0.15,Pharmaceuticals,United Kingdom & Ireland,United Kingdom
AstraZeneca PLC,OTCPK:AZNC.F,AZNC.F,Healthcare,191771.3844,14261,202104.7829,29528,0.093,0.4094,0.0488,0.15,Pharmaceuticals,United Kingdom & Ireland,United Kingdom
Novartis AG,NYSE:NVS,NVS,Healthcare,189351.7604,30531,208879.894,51556,0.005,0.3601,0.0301,0.16,Pharmaceuticals,Europe,Switzerland
Novartis AG,OTCPK:NVSE.F,NVSE.F,Healthcare,189351.7604,30531,208591.7894,51556,0.005,0.3585,0.0301,0.16,Pharmaceuticals,Europe,Switzerland
Royal Dutch Shell plc,NYSE:RDS.A,RDS.A,Energy,187146.5419,65972,228303.5342,204191,0.0255,0.2241,0.0747,0.26,"Oil, Gas & Consumable Fuels",Europe,Netherlands
Royal Dutch Shell plc,NYSE:RDS.B,RDS.B,Energy,187146.5419,65972,228303.5342,204191,0.0255,0.2241,0.0747,0.26,"Oil, Gas & Consumable Fuels",Europe,Netherlands
Royal Dutch Shell plc,OTCPK:RYDA.F,RYDA.F,Energy,187146.5419,65972,232756.9329,204191,0.0255,0.2245,0.0747,0.26,"Oil, Gas & Consumable Fuels",Europe,Netherlands
Royal Dutch Shell plc,OTCPK:RYDB.F,RYDB.F,Energy,187146.5419,65972,232756.9329,204191,0.0255,0.2245,0.0747,0.26,"Oil, Gas & Consumable Fuels",Europe,Netherlands
Texas Instruments Incorporated,NASDAQGS:TXN,TXN,Information Technology,183783.4089,-1139,182644.4089,16762,0.0521,0.544,0.0536,0.2,Semiconductors & Semiconductor Equipment,United States,United States
AT&T Inc.,NYSE:T,T,Communication Services,181994.9474,180839,371736.9474,173597,-0.0163,0.3605,0.1169,0.24,Diversified Telecommunication Services,United States,United States
Shopify Inc.,NYSE:SHOP,SHOP,Information Technology,178475.943,-6678.592,169001.03,3853.241,0.3224,0.244,0.0321,0.15,IT Services,Canada & Mexico,Canada
McDonald's Corporation,NYSE:MCD,MCD,Consumer Discretionary,178066.7238,46208.6,224275.3238,21744.4,0.0504,0.5112,0.0974,0.29,"Hotels, Restaurants & Leisure",United States,United States
"United Parcel Service, Inc.",NYSE:UPS,UPS,Industrials,177527.122,16242,193786.122,92466,0.0382,0.1535,0.0722,0.27,Air Freight & Logistics,United States,United States
SAP SE,NYSE:SAP,SAP,Information Technology,166541.7722,7585.1286,175006.2339,32172.8052,0.0625,0.3689,0.0426,0.25,Software,Europe,Germany
SAP SE,OTCPK:SAPG.F,SAPG.F,Information Technology,166541.7722,7585.1286,178503.7126,32172.8052,0.0571,0.3704,0.0426,0.25,Software,Europe,Germany
Medtronic plc,NYSE:MDT,MDT,Healthcare,165655.7498,15295,181128.7498,31597,0.0397,0.3156,0.0403,0.19,Healthcare Equipment & Supplies,United Kingdom & Ireland,Ireland
"NextEra Energy, Inc.",NYSE:NEE,NEE,Utilities,165611.5257,54649,213910.5257,16418,0.063,0.5673,0.7698,0.17,Electric Utilities,United States,United States
Hermès International Société en commandite par actions,OTCPK:HESA.F,HESA.F,Consumer Discretionary,165431.9758,-4359.7011,164184.4962,9649.5493,0.1116,0.3926,0.0481,0.33,"Textiles, Apparel & Luxury Goods",Europe,France
Hermès International Société en commandite par actions,OTCPK:HESA.Y,HESA.Y,Consumer Discretionary,165431.9758,-4359.7011,164184.4962,9649.5493,0.1116,0.3926,0.0481,0.33,"Textiles, Apparel & Luxury Goods",Europe,France
Intuit Inc.,NASDAQGS:INTU,INTU,Information Technology,161342.7117,-1390,159952.7117,9633,0.0771,0.3356,0.0148,0.2,Software,United States,United States
Linde plc,NYSE:LIN,LIN,Materials,160980.3501,12355,174786.3501,28954,0.0378,0.3479,0.1257,0.27,Chemicals,United Kingdom & Ireland,United Kingdom
"Lowe's Companies, Inc.",NYSE:LOW,LOW,Consumer Discretionary,158407.8265,22457,180864.8265,94613,0.0291,0.1464,0.0182,0.32,Specialty Retail,United States,United States
PetroChina Company Limited,NYSE:PTR,PTR,Energy,155131.9804,50352.4802,183154.4586,340922.7052,0.0466,0.1547,0.1169,0.36,"Oil, Gas & Consumable Fuels",Asia / Pacific,China
PetroChina Company Limited,OTCPK:PCCY.F,PCCY.F,Energy,155131.9804,50352.4802,187518.4129,340922.7052,0.0466,0.1547,0.1169,0.36,"Oil, Gas & Consumable Fuels",Asia / Pacific,China
Union Pacific Corporation,NYSE:UNP,UNP,Industrials,152740.8376,29723,180190.8376,21212,0.0394,0.5563,0.1538,0.27,Road & Rail,United States,United States
Philip Morris International Inc.,NYSE:PM,PM,Consumer Staples,150991.4513,24614,172900.4513,30745,0.0365,0.4743,0.0379,0.27,Tobacco,United States,United States
Honeywell International Inc.,NASDAQGS:HON,HON,Industrials,149663.1548,10039,159973.1548,33959,0.0573,0.277,0.0249,0.18,Industrial Conglomerates,United States,United States
QUALCOMM Incorporated,NASDAQGS:QCOM,QCOM,Information Technology,148467.36,2909,151376.36,32576,0.0714,0.3547,0.0398,0.21,Semiconductors & Semiconductor Equipment,United States,United States
"T-Mobile US, Inc.",NASDAQGS:TMUS,TMUS,Communication Services,145849.8236,102909,248758.8236,79322,0.0453,0.376,0.1377,0.28,Wireless Telecommunication Services,United States,United States
"Advanced Micro Devices, Inc.",NASDAQGS:AMD,AMD,Information Technology,145337.5001,-3136,142201.5001,13340,0.1091,0.2828,0.0254,0.15,Semiconductors & Semiconductor Equipment,United States,United States
Keyence Corporation,OTCPK:KYCC.F,KYCC.F,Information Technology,143688.8057,-7990.7768,133417.4871,5429.714,0.091,0.5559,0.0118,0.3,"Electronic Equipment, Instruments & Components",Asia / Pacific,Japan
Volkswagen AG,OTCPK:VLKA.F,VLKA.F,Consumer Discretionary,142643.6265,187824.9526,301400.1281,304105.7875,0.0298,0.1414,0.0563,0.23,Automobiles,Europe,Germany
Volkswagen AG,OTCPK:VWAG.Y,VWAG.Y,Consumer Discretionary,142643.6265,187824.9526,301400.1281,304105.7875,0.0298,0.1414,0.0563,0.23,Automobiles,Europe,Germany
Volkswagen AG,OTCPK:VWAP.Y,VWAP.Y,Consumer Discretionary,142643.6265,187824.9526,301400.1281,304105.7875,0.0298,0.1414,0.0563,0.23,Automobiles,Europe,Germany
Sony Group Corporation,NYSE:SONY,SONY,Consumer Discretionary,140107.9276,13946.7345,148612.508,83658.9459,0.017,0.1736,0.0441,0.2,Household Durables,Asia / Pacific,Japan
Sony Group Corporation,OTCPK:SNEJ.F,SNEJ.F,Consumer Discretionary,140107.9276,13946.7345,148668.333,83658.9459,0.017,0.1741,0.0441,0.2,Household Durables,Asia / Pacific,Japan
Christian Dior SE,OTCPK:CHDR.F,CHDR.F,Consumer Discretionary,140085.98,35218.2163,205077.7032,65136.3852,0.0569,0.2553,0.0592,0.29,"Textiles, Apparel & Luxury Goods",Europe,France
Christian Dior SE,OTCPK:CHDR.Y,CHDR.Y,Consumer Discretionary,140085.98,35218.2163,205077.7032,65136.3852,0.0569,0.2553,0.0592,0.29,"Textiles, Apparel & Luxury Goods",Europe,France
BHP Group,NYSE:BHP,BHP,Materials,139388.8919,6300,146790.1511,61231,-0.0339,0.5194,0.1521,0.41,Metals & Mining,Asia / Pacific,Australia
BHP Group,NYSE:BBL,BBL,Materials,139388.8919,6300,146790.1511,61231,-0.0339,0.5194,0.1521,0.41,Metals & Mining,Asia / Pacific,Australia
BHP Group,OTCPK:BHPB.F,BHPB.F,Materials,139388.8919,6300,151590.8014,61231,-0.0339,0.5194,0.1521,0.41,Metals & Mining,Asia / Pacific,Australia
BHP Group,OTCPK:BHPL.F,BHPL.F,Materials,139388.8919,6300,151590.8014,61231,-0.0339,0.5194,0.1521,0.41,Metals & Mining,Asia / Pacific,Australia
Raytheon Technologies Corporation,NYSE:RTX,RTX,Industrials,137715.403,24994,164345.403,62297,0.0613,0.2067,0.0336,0.29,Aerospace & Defense,United States,United States
Unilever PLC,NYSE:UL,UL,Consumer Staples,137705.7481,26701.8501,170322.7929,60247.8653,0.0268,0.2242,0.0259,0.24,Personal Products,United Kingdom & Ireland,United Kingdom
Unilever PLC,OTCPK:UNLY.F,UNLY.F,Consumer Staples,137705.7481,26701.8501,168325.6176,60247.8653,0.0268,0.2242,0.0259,0.24,Personal Products,United Kingdom & Ireland,United Kingdom
"ServiceNow, Inc.",NYSE:NOW,NOW,Information Technology,136049.3978,-895,133760.3978,5171.484,0.2068,0.591,0.0809,0.26,Software,United States,United States
Starbucks Corporation,NASDAQGS:SBUX,SBUX,Consumer Discretionary,135065.905,18620.9,153693.305,27117,0.0694,0.2433,0.0679,0.26,"Hotels, Restaurants & Leisure",United States,United States
TotalEnergies SE,NYSE:TTE,TTE,Energy,134640.7443,36589,141041.2258,139831,0.0405,0.2105,0.0944,0.28,"Oil, Gas & Consumable Fuels",Europe,France
TotalEnergies SE,OTCPK:TTFN.F,TTFN.F,Energy,134640.7443,36589,144443.0331,139831,0.0405,0.2099,0.0944,0.28,"Oil, Gas & Consumable Fuels",Europe,France
"Charter Communications, Inc.",NASDAQGS:CHTR,CHTR,Communication Services,134361.165,87741,226846.165,49987,0.0357,0.4207,0.1813,0.14,Media,United States,United States
"Moderna, Inc.",NASDAQGS:MRNA,MRNA,Healthcare,131806.6667,-7387,120212.6667,7019.395,0.2937,0.4157,0.398,0.15,Biotechnology,United States,United States
Siemens Aktiengesellschaft,OTCPK:SIEG.Y,SIEG.Y,Industrials,129703.6142,47951.8501,178740.7155,72961.3378,0.0376,0.18,0.0292,0.26,Industrial Conglomerates,Europe,Germany
Siemens Aktiengesellschaft,OTCPK:SMAW.F,SMAW.F,Industrials,129703.6142,47951.8501,178740.7155,72961.3378,0.0376,0.18,0.0292,0.26,Industrial Conglomerates,Europe,Germany
"JD.com, Inc.",NASDAQGS:JD,JD,Consumer Discretionary,128937.5989,-22036.6438,96336.9324,132492.7998,0.1533,0.0418,0.0189,0.14,Internet & Direct Marketing Retail,Asia / Pacific,China
"JD.com, Inc.",OTCPK:JDCM.F,JDCM.F,Consumer Discretionary,128937.5989,-22036.6438,100347.3645,132492.7998,0.1533,0.0418,0.0189,0.14,Internet & Direct Marketing Retail,Asia / Pacific,China
Bristol-Myers Squibb Company,NYSE:BMY,BMY,Healthcare,127993.7407,32134,156428.7407,44384,-0.0236,0.483,0.0399,0.24,Pharmaceuticals,United States,United States
BYD Company Limited,OTCPK:BYDD.F,BYDD.F,Consumer Discretionary,125011.7245,2908.3228,123778.4828,28957.2881,0.0853,0.0976,0.1289,0.15,Automobiles,Asia / Pacific,China
BYD Company Limited,OTCPK:BYDD.Y,BYDD.Y,Consumer Discretionary,125011.7245,2908.3228,123778.4828,28957.2881,0.0853,0.0976,0.1289,0.15,Automobiles,Asia / Pacific,China
Target Corporation,NYSE:TGT,TGT,Consumer Discretionary,124903.8348,8106,133009.8348,100328,0.0323,0.1015,0.0343,0.23,Multiline Retail,United States,United States
The Boeing Company,NYSE:BA,BA,Industrials,124832.771,42217,167246.771,61658,0.0856,0.1341,0.0215,0.14,Aerospace & Defense,United States,United States
Sanofi,NASDAQGS:SNY,SNY,Healthcare,124367.7455,14144.9241,138445.0823,44527.9886,0.0295,0.311,0.0364,0.16,Pharmaceuticals,Europe,France
Sanofi,OTCPK:SNYN.F,SNYN.F,Healthcare,124367.7455,14144.9241,137432.8069,44527.9886,0.0295,0.311,0.0364,0.16,Pharmaceuticals,Europe,France
Pinduoduo Inc.,NASDAQGS:PDD,PDD,Consumer Discretionary,124138.2557,-12406.9212,110480.2813,13314.1519,0.2101,0.1426,0.0016,0.14,Internet & Direct Marketing Retail,Asia / Pacific,China
"Applied Materials, Inc.",NASDAQGS:AMAT,AMAT,Information Technology,122735.071,-791,120286.071,21628,0.0688,0.3517,0.028,0.17,Semiconductors & Semiconductor Equipment,United States,United States
"Intuitive Surgical, Inc.",NASDAQGS:ISRG,ISRG,Healthcare,122003.5328,-4132,113776.1328,5488.5,0.0879,0.4296,0.0635,0.19,Healthcare Equipment & Supplies,United States,United States
Public Joint Stock Company Gazprom,OTCPK:OGZP.Y,OGZP.Y,Energy,120511.9516,45734.5153,146336.8174,106261.448,0.052,0.2939,0.2394,0.22,"Oil, Gas & Consumable Fuels",Europe,Russia
Amgen Inc.,NASDAQGS:AMGN,AMGN,Healthcare,118817.4263,24700,139453.4263,25484,0.01,0.5092,0.0286,0.13,Biotechnology,United States,United States
The Estée Lauder Companies Inc.,NYSE:EL,EL,Consumer Staples,118328.6571,3126,122345.6571,16215,0.0809,0.248,0.0447,0.27,Personal Products,United States,United States
"Square, Inc.",NYSE:SQ,SQ,Information Technology,116861.9971,535.177,116256.0711,15930.786,0.1594,0.0875,0.0141,0.15,IT Services,United States,United States
Diageo plc,NYSE:DEO,DEO,Consumer Staples,115964.6384,17131.6725,131038.2785,17613.0469,0.0335,0.3531,0.0501,0.22,Beverages,United Kingdom & Ireland,United Kingdom
Diageo plc,OTCPK:DGEA.F,DGEA.F,Consumer Staples,115964.6384,17131.6725,131167.5454,17613.0469,0.0335,0.3531,0.0501,0.22,Beverages,United Kingdom & Ireland,United Kingdom
CVS Health Corporation,NYSE:CVS,CVS,Healthcare,115489.1816,69529,163203.1816,277285,0.0319,0.0478,0.0105,0.28,Healthcare Providers & Services,United States,United States
International Business Machines Corporation,NYSE:IBM,IBM,Information Technology,114621.4108,50923,163677.4108,74461,0.0221,0.2549,0.0373,0.21,IT Services,United States,United States
General Electric Company,NYSE:GE,GE,Industrials,114204.9218,47351,163121.9218,78722,0.0267,0.1648,0.0578,0.25,Industrial Conglomerates,United States,United States
"Industria de Diseño Textil, S.A.",OTCPK:IDEX.F,IDEX.F,Consumer Discretionary,111542.6244,-2135.0202,114222.2608,28831.121,0.0807,0.2688,0.0444,0.22,Specialty Retail,Europe,Spain
"Industria de Diseño Textil, S.A.",OTCPK:IDEX.Y,IDEX.Y,Consumer Discretionary,111542.6244,-2135.0202,114222.2608,28831.121,0.0807,0.2688,0.0444,0.22,Specialty Retail,Europe,Spain
Anheuser-Busch InBev SA/NV,NYSE:BUD,BUD,Consumer Staples,111155.1893,83562,197812.5174,51415,0.0463,0.3645,0.0936,0.27,Beverages,Europe,Belgium
Anheuser-Busch InBev SA/NV,OTCPK:BUDF.F,BUDF.F,Consumer Staples,111155.1893,83562,199097.5508,51415,0.0463,0.3645,0.0936,0.27,Beverages,Europe,Belgium
Caterpillar Inc.,NYSE:CAT,CAT,Industrials,109850.1499,27565,135771.1499,45892,0.03,0.1868,0.0554,0.23,Machinery,United States,United States
Atlassian Corporation Plc,NASDAQGS:TEAM,TEAM,Information Technology,106964.5719,-737.289,106227.2829,2089.132,0.1069,0.2557,0.0316,0.29,Software,Asia / Pacific,Australia
Rio Tinto Group,NYSE:RIO,RIO,Materials,106519.1399,-3432,103927.7145,58332,-0.0047,0.5341,0.1203,0.29,Metals & Mining,United Kingdom & Ireland,United Kingdom
